canonical_key	rank	token_id	decoded	count	share_pct	status	bitmask_popcount	bitmask_signature
nob_Latn	32	19043	' lä'	6241	0.000623	text	6	de,nl,sv,fi,sk,et
nob_Latn	33	10476	' Ö'	6220	0.000621	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	34	10879	'äs'	5852	0.000584	text	6	de,nl,sv,fi,sk,et
nob_Latn	35	4324	' á'	5659	0.000565	text	8	cs,es,hu,nl,pt,vi,sk,is
nob_Latn	36	1529	'í'	5644	0.000564	text	9	cs,es,hu,nl,pt,vi,sk,ca...+1
nob_Latn	37	25485	'ätt'	5562	0.000555	text	6	de,nl,sv,fi,sk,et
nob_Latn	38	10030	'ös'	5387	0.000538	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	39	7221	' ä'	5315	0.000531	text	6	de,nl,sv,fi,sk,et
nob_Latn	40	7511	' kö'	5129	0.000512	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	41	34401	' över'	5052	0.000505	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	42	13641	' gö'	4994	0.000499	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	43	5951	'änd'	4921	0.000491	text	6	de,nl,sv,fi,sk,et
nob_Latn	44	30242	'äv'	4904	0.000490	text	6	de,nl,sv,fi,sk,et
nob_Latn	45	57720	' när'	4886	0.000488	text	6	de,nl,sv,fi,sk,et
nob_Latn	46	79862	' här'	4876	0.000487	text	6	de,nl,sv,fi,sk,et
nob_Latn	47	1780	'ı'	4465	0.000446	text	2	tr,az
nob_Latn	48	24890	'vä'	4338	0.000433	text	6	de,nl,sv,fi,sk,et
nob_Latn	49	8134	'äng'	4260	0.000425	text	6	de,nl,sv,fi,sk,et
nob_Latn	50	63617	' använd'	4234	0.000423	text	6	de,nl,sv,fi,sk,et
por_Latn	1	1671	'ü'	94188	0.009393	text	9	de,es,fr,hu,nl,tr,az,et...+1
por_Latn	2	1334	'е'	9764	0.000974	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	3	1315	'а'	6312	0.000629	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	4	1323	'о'	5805	0.000579	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	5	4547	'ā'	5406	0.000539	text	1	lv
por_Latn	6	16096	'ō'	5273	0.000526	no_in_scope_chars	0	(none)
por_Latn	7	2624	'ñ'	4515	0.000450	text	1	es
por_Latn	8	2494	' а'	3977	0.000397	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	9	96639	' lingü'	3855	0.000384	text	9	de,es,fr,hu,nl,tr,az,et...+1
por_Latn	10	3116	' е'	3378	0.000337	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	11	2739	'َ'	3264	0.000326	text	1	ar
por_Latn	12	5910	'ño'	2835	0.000283	text	1	es
por_Latn	13	2884	'ß'	2806	0.000280	text	1	de
por_Latn	14	7467	'ña'	2750	0.000274	text	1	es
por_Latn	15	1810	' о'	2580	0.000257	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	16	113972	'Ă'	2415	0.000241	text	2	vi,ro
por_Latn	17	1792	'ö'	2400	0.000239	text	9	de,hu,nl,sv,tr,az,fi,et...+1
por_Latn	18	1654	'ä'	2365	0.000236	text	6	de,nl,sv,fi,sk,et
por_Latn	19	4385	'ِ'	2345	0.000234	text	1	ar
por_Latn	20	10095	'ū'	2263	0.000226	text	2	lt,lv
por_Latn	21	1754	'è'	2224	0.000222	text	4	fr,it,vi,ca
por_Latn	22	2631	'ë'	2173	0.000217	text	2	fr,nl
por_Latn	23	7701	'ī'	1992	0.000199	text	1	lv
por_Latn	24	1756	' и'	1907	0.000190	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	25	1713	'α'	1889	0.000188	text	2	el,el-polyton
por_Latn	26	2458	'ă'	1848	0.000184	text	2	vi,ro
por_Latn	27	7884	'ï'	1846	0.000184	text	3	fr,nl,ca
por_Latn	28	3242	' α'	1759	0.000175	text	2	el,el-polyton
por_Latn	29	3269	'ès'	1731	0.000173	text	4	fr,it,vi,ca
por_Latn	30	7213	'ْ'	1712	0.000171	text	1	ar
por_Latn	31	1753	'і'	1701	0.000170	text	1	uk
por_Latn	32	8850	' β'	1696	0.000169	text	2	el,el-polyton
por_Latn	33	1614	' с'	1691	0.000169	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	34	39446	' Müller'	1659	0.000165	text	9	de,es,fr,hu,nl,tr,az,et...+1
por_Latn	35	4785	'ì'	1653	0.000165	text	2	it,vi
por_Latn	36	1901	'х'	1604	0.000160	text	5	ru,uk,bg,mk,sr-Cyrl
por_Latn	37	2894	'ère'	1596	0.000159	text	4	fr,it,vi,ca
por_Latn	38	116293	' Niño'	1588	0.000158	text	1	es
por_Latn	39	3404	'ُ'	1554	0.000155	text	1	ar
por_Latn	40	11324	'َّ'	1494	0.000149	text	1	ar
por_Latn	41	8981	' años'	1468	0.000146	text	1	es
por_Latn	42	3774	'ù'	1450	0.000145	text	3	fr,it,vi
por_Latn	43	4847	' è'	1320	0.000132	text	4	fr,it,vi,ca
por_Latn	44	10476	' Ö'	1227	0.000122	text	9	de,hu,nl,sv,tr,az,fi,et...+1
por_Latn	45	5096	' ו'	1204	0.000120	text	1	he
por_Latn	46	109664	'üe'	1181	0.000118	text	9	de,es,fr,hu,nl,tr,az,et...+1
por_Latn	47	10049	'ène'	1180	0.000118	text	4	fr,it,vi,ca
por_Latn	48	6072	'ière'	1165	0.000116	text	4	fr,it,vi,ca
por_Latn	49	1570	'я'	1160	0.000116	text	3	ru,uk,bg
por_Latn	50	4902	' со'	1157	0.000115	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	1	10653	' ş'	2860650	0.283494	text	2	tr,az
ron_Latn	2	2600	'ş'	1322133	0.131025	text	2	tr,az
ron_Latn	3	73154	'şi'	374005	0.037064	text	2	tr,az
ron_Latn	4	2113	'ã'	176958	0.017537	text	2	pt,vi
ron_Latn	5	11178	'şt'	135097	0.013388	text	2	tr,az
ron_Latn	6	17992	' Ş'	118800	0.011773	text	2	tr,az
ron_Latn	7	23764	'iş'	106845	0.010588	text	2	tr,az
ron_Latn	8	31351	'şa'	98026	0.009715	text	2	tr,az
ron_Latn	9	74932	' aş'	62589	0.006203	text	2	tr,az
ron_Latn	10	62431	'şit'	50179	0.004973	text	2	tr,az
ron_Latn	11	59915	'Ş'	48117	0.004768	text	2	tr,az
ron_Latn	12	102653	'þ'	28327	0.002807	text	1	is
ron_Latn	13	77651	'uş'	27754	0.002750	text	2	tr,az
ron_Latn	14	85227	' eş'	24181	0.002396	text	2	tr,az
ron_Latn	15	1668	' в'	15423	0.001528	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	16	1756	' и'	15377	0.001524	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	17	128292	' ī'	14912	0.001478	text	1	lv
ron_Latn	18	86169	'Ä'	11629	0.001152	text	6	de,nl,sv,fi,sk,et
ron_Latn	19	2843	' не'	11091	0.001099	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	20	2803	'å'	10879	0.001078	text	4	da,sv,fi,nb
ron_Latn	21	1902	' на'	9686	0.000960	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	22	1337	'é'	8013	0.000794	text	13	cs,es,fr,hu,it,nl,pt,sv...+5
ron_Latn	23	1334	'е'	7782	0.000771	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	24	45598	'È'	7296	0.000723	text	4	fr,it,vi,ca
ron_Latn	25	1614	' с'	7184	0.000712	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	26	7701	'ī'	6800	0.000674	text	1	lv
ron_Latn	27	5858	' что'	6602	0.000654	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	28	1432	'л'	5731	0.000568	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	29	3103	'ть'	5720	0.000567	text	3	ru,uk,bg
ron_Latn	30	1315	'а'	5385	0.000534	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	31	1755	' à'	5197	0.000515	text	7	fr,it,pt,sv,vi,nb,ca
ron_Latn	32	2105	'ла'	4842	0.000480	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	33	2060	'ли'	4501	0.000446	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	34	62927	'Å'	4390	0.000435	text	4	da,sv,fi,nb
ron_Latn	35	2555	' за'	4334	0.000430	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	36	2711	' по'	4308	0.000427	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	37	30048	' È'	4185	0.000415	text	4	fr,it,vi,ca
ron_Latn	38	1753	'і'	4140	0.000410	text	1	uk
ron_Latn	39	2463	'ка'	4103	0.000407	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	40	1780	'ı'	4095	0.000406	text	2	tr,az
ron_Latn	41	3460	' от'	4068	0.000403	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	42	1502	'á'	4015	0.000398	text	8	cs,es,hu,nl,pt,vi,sk,is
ron_Latn	43	121187	'Ÿ'	3949	0.000391	text	1	fr
ron_Latn	44	2332	' у'	3919	0.000388	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	45	9762	'Д'	3795	0.000376	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	46	9421	' он'	3792	0.000376	text	5	ru,uk,bg,mk,sr-Cyrl
