id	token	count
149376	 οἶμαι	11088
149377	 πᾶσα	11081
149378	ρίου	11074
149379	μῃ	11054
149380	βεῖν	1126
149381	 ἑνὸς	11042
149382	 ἐκεί	11041
149383	μὴν	11029
149384	οὔ	11024
149385	 λεγο	11019
149386	θὲν	11007
149387	Ἔ	11004
149388	 ὑπέ	10990
149389	Τοῦ	10988
149390	κέναι	10938
149391	 υἱο	10929
149392	ὗτος	10904
149393	σαις	10852
149394	ικοῖς	10840
149395	 τρεῖς	10824
149396	 ἀνδρῶν	10821
149397	λις	10814
149398	λειαν	10802
149399	 ἔδει	10801
149400	 ἁγίου	10796
149401	τήν	10794
149402	 οἰκε	10789
149403	 Οὐκ	10778
149404	ἡμ	10756
149405	μοὺς	10753
149406	 ἐθν	10743
149407	 σώ	10720
149408	 θεῖον	10701
149409	 καλεῖ	10700
149410	 Τοῦτο	10687
149411	 ἄλλους	10683
149412	 ἱστο	10661
149413	 ἔχου	10659
149414	 ἤτοι	10658
149415	 ἀγαθὸν	10652
149416	ὑπο	10650
149417	ναί	10640
149418	ῆλθεν	10618
149419	Αλλὰ	10605
149420	 ἐξα	10600
149421	 ἐποίησε	10600
149422	 σημε	10597
149423	 ἱπ	10592
149424	ητῶν	10585
149425	οικ	10578
149426	 ἔμπ	10562
149427	 θεὸς	10561
149428	 ἐμὲ	10559
149429	 ἀνθρώπου	10536
149430	 Παῦ	10514
149431	 μόνον	10487
149432	 οὐσ	10471
149433	μοις	10465
149434	νοντο	10460
149435	 πολλοὶ	10452
149436	\xa9ς	10443
149437	ραις	10413
149438	 ἄλλοι	10407
149439	νησιν	10399
149440	 ἀγαθῶν	10398
149441	ξιον	10389
149442	ζεσθαι	10384
149443	 ἀνθρώποις	10372
149444	 εἶχε	10354
149445	νομέ	10350
149446	ομεν	10344
149447	γεσθαι	10340
149448	 φησὶ	10326
149449	Ἐν	10310
149450	 ἐρω	10286
149451	σομεν	10285
149452	 παντὶ	10271
149453	 ἐλε	10265
149454	ρειν	10261
149455	 πνεῦμα	10258
149456	 ἀρετῆς	10255
149457	ξὺ	10241
149458	 Ἀντ	10223
149459	 πόλει	10221
149460	δεῖ	10213
149461	 ἰατ	10202
149462	Τὸ	10191
149463	 νόμον	10188
149464	 ἁγίων	10186
149465	αὐτῶν	10157
149466	ίαις	10137
149467	όντες	10134
149468	 ἔχοντα	10130
149469	στει	10129
149470	ρὰν	10116
149471	λί	10088
149472	 ἄνευ	10067
149473	 ἴσως	10065
149474	ξασθαι	10038
149475	δεί	10037
149476	μετὰ	10009
149477	ὰμ	10008
149478	 χώραν	9993
149479	"·


"	9981
149480	τατον	9972
149481	 βασιλεῖ	9971
149482	αὐτῷ	9965
149483	σασα	9962
149484	 πέ	9925
149485	μό	9922
149486	 λαβεῖν	9916
149487	 θάνατον	9915
149488	 ἔπειτα	9885
149489	ττο	9872
149490	 πεφ	9869
149491	 κεχ	9853
149492	 Κύριον	9851
149493	δίᾳ	9838
149494	ίζων	9832
149495	 ἔχοντες	9830
149496	οὖν	9826
149497	 εὐχ	9810
149498	 ἐπιθυ	9803
149499	 τά	9799
149500	σίᾳ	9798
149501	 τόπον	9790
149502	 ἀληθῶς	9778
149503	πῶς	9770
