id	token	count
149560	ἠ	11372
149561	ρεσιν	11851
149562	 ἁπάντων	11297
149563	 οἰκου	5239
149564	αὐτὸν	11533
149565	 χωρὶς	11568
149566	 ἀξ	8677
149567	 ἴδιον	11961
149568	 ὅπου	12195
149569	 τυγχ	8308
149570	ρῶς	11346
149571	 ἐλα	11912
149572	οἰ	11497
149573	 νυκτ	1533
149574	 θείας	11636
149575	 χεῖρας	11315
149576	έον	8813
149577	πὸν	7567
149578	 λόγοις	11267
149579	 τοῦτ	11224
149580	δωκεν	6759
149581	 ἐγώ	11165
149582	 ἐντεῦθεν	11368
149583	Θεοῦ	11529
149584	 εἴπερ	11889
149585	 πόλεμον	11049
149586	ρᾶς	11509
149587	εβη	2072
149588	 ἔνθα	11201
149589	 ἕνεκα	11415
149590	 ὑψη	8477
149591	 ἐθνῶν	11699
149592	 ἅπαντα	11116
149593	μερον	3408
149594	 ἀνθρωπ	11151
149595	ύς	11802
149596	 παντα	2576
